epoch,train_acc,train_f1,train_loss,test_acc,test_f1,test_loss
1,0.5929091311718708,0.15364574400862244,0.7273205911608173,0.5392176836100642,0.15453573171533694,0.7967184920937
2,0.5956119369276885,0.1593123785728822,0.7046588861063142,0.5502114623536647,0.15660293935588843,0.7630060931513487
3,0.5996947428008282,0.1621317985611511,0.6977951188488284,0.5563176500326342,0.15485447358965146,0.7504703386088986
4,0.6042805667826199,0.16428975713169647,0.6913496191646056,0.5594697784266899,0.1532738472917656,0.7424292582280057
5,0.6085892175208687,0.16595873336057257,0.6853797959150343,0.5611392180608845,0.1519843699880442,0.7367557107144296
6,0.6125063060579219,0.16735823504711514,0.6800832582933402,0.5623427236954791,0.15118499710976316,0.7325555599024196
7,0.6162708759847716,0.1687006318331103,0.6754505931761328,0.5634613425690129,0.15066668134723585,0.7292887892411963
8,0.619586322600325,0.16976433799877735,0.6714058551940054,0.5642309825359637,0.15014292493957418,0.7266243159662623
9,0.6224552123235038,0.17054811788614282,0.6678640983048991,0.5651496459278877,0.14972299475497394,0.7243605379907085
10,0.6252097130890298,0.1713930916866472,0.6647480624779726,0.5661437642185325,0.14958717105871305,0.7223741183632135
11,0.6277350693079762,0.17213134803445954,0.6619917140675659,0.5670435638857764,0.1495175419093779,0.7205886033381208
12,0.6299865519648503,0.17278741277885562,0.6595399082393102,0.5678980906137878,0.14950377045345692,0.7189557395123646
13,0.6319989910307325,0.173349145953781,0.6573470167300138,0.5687299808721832,0.14950858214229912,0.7174444141992686
14,0.6338314141408216,0.17384154441994085,0.6553753997712053,0.5696486442641072,0.14946295488522782,0.7160340636737388
15,0.6354269934475658,0.17425163424744897,0.6535939964959413,0.5704956255022466,0.14936413766307516,0.7147106951432505
16,0.6368011274644955,0.17458526708716265,0.6519771106341894,0.5713011065460898,0.1493417777428423,0.7134644525102656
17,0.6381195335276968,0.17494445531097505,0.650503398805125,0.5720952693551247,0.14937977170799024,0.7122881077295342
18,0.6392883540308909,0.17525014418498597,0.6491550435131256,0.5728498183423313,0.14929746787887896,0.7111761163645101
19,0.6403680831343748,0.17555083944443278,0.6479170849154674,0.573500616843797,0.14937603226498217,0.710124022449064
20,0.641320957816872,0.17576714459270693,0.6467768846198919,0.5741099151509664,0.14942320878259754,0.7091280824396528
21,0.642208938763778,0.17596096849208884,0.6457236970176575,0.5747097815957957,0.14941635415644877,0.7081850278934833
22,0.6429946295850907,0.17616008677119935,0.6447483270218417,0.5753549209798573,0.14950015490286458,0.7072919164660957
23,0.643754289585912,0.17634518343082914,0.6438428566226646,0.5759755375218347,0.14957683707943809,0.7064460391989006
24,0.6444189920866306,0.1765019546042733,0.6430004259546621,0.5765339037723677,0.14969944206447508,0.7056448635557606
25,0.6450774618556822,0.17666370126435005,0.6422150574199081,0.5770262469865199,0.14971862817965326,0.7048859989660207
26,0.6456780038833585,0.17679377296678475,0.6414815137891826,0.5775487721601605,0.14972758509406384,0.7041671763273794
27,0.6462466489901508,0.17691392304641013,0.640795183136417,0.5780580927265251,0.1497778267694986,0.7034862359704572
28,0.6467694651876272,0.1770323934121522,0.6401519850072438,0.5784636628071486,0.1498550526147595,0.7028411205764892
29,0.6472589179391216,0.17712613281423728,0.6395482934430387,0.5789560060213009,0.14995220449620494,0.7022298708399309
30,0.6477120741944378,0.1772529947169682,0.6389808734379095,0.5793200759076281,0.15000419261642134,0.7016506225155025
31,0.6481582644555379,0.1773758448805702,0.6384468281512935,0.579642645599659,0.15001125236967278,0.7011016040386885
32,0.648552393075655,0.1774886351740719,0.6379435547773888,0.5798859876480331,0.14989693869761048,0.7005811342604698
33,0.6489637533656751,0.17759468968171072,0.6374687074216345,0.5802613757691684,0.1499069719464067,0.700087620058895
34,0.6493487162039291,0.17767582467658646,0.6370201656823932,0.5805839454611992,0.14986196823357575,0.6996195537260336
35,0.6496907831830634,0.1777562065366024,0.6365960079063032,0.5808744468212738,0.14987220496181453,0.6991755101093606
36,0.6500328501621977,0.17785655717937587,0.636194488295766,0.5811724936712204,0.14993682759676863,0.6987541435309191
37,0.6503569522088801,0.1779396426139351,0.6358140172111082,0.5814573359138908,0.14990632291582856,0.6983541845298122
38,0.6506256929331089,0.17799684114005343,0.6354531441380902,0.5817270871768172,0.1498972518709361,0.6979744364814426
39,0.650913498483613,0.17807488385182066,0.6351105428922588,0.5819496791280432,0.1499846578705124,0.6976137721469655
40,0.6511741733198022,0.17812887370480587,0.6347849987112653,0.5821666119618651,0.1500117040749368,0.6972711302019962
41,0.6514458470942271,0.17816624538812378,0.6344753969492526,0.582374112933347,0.150081578593777,0.6969455117868646
42,0.6516837907913956,0.17822361119881117,0.6341807131378137,0.5825853866497648,0.15009390951654844,0.6966359771135354
43,0.6518726058977773,0.17825183903072264,0.6339000042182866,0.5827400691921422,0.15004976041990878,0.6963416421570263
44,0.6520790193053364,0.17826473611336013,0.6336324007827009,0.5829117290867316,0.15002383405348055,0.6960616754526209
45,0.6522953317573077,0.1783245350238564,0.6333771001869887,0.5830343432971528,0.15000249952893493,0.69579529501438
46,0.6524746144505517,0.17836593386971228,0.6331333604215914,0.5832022304468062,0.14994267599239783,0.6955417653854624
47,0.6526410650491873,0.178383431587309,0.6329004946421772,0.583415390535692,0.14993591001997758,0.6953003948267699
48,0.6528258472115491,0.1784101103805622,0.6326778662776913,0.5835474366084532,0.14996977502608588,0.6950705326470018
49,0.6529831320283215,0.17843090450625615,0.6324648846450329,0.5837115510131706,0.14997419285257568,0.6948515666747233
50,0.6531217186500929,0.17845522772327088,0.6322610010096066,0.583870006300484,0.1499834310771341,0.694642920870811
